500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,10500,11000,11500,12000,12500,13000,13500,14000,14500,15000,15500,16000,16500,17000,17500,18000,18500,19000,19500,20000,20500,21000,21500,22000,22500,23000,23500,24000,24500,25000,25500,26000,26500,27000,27500,28000,28500,29000,29500,30000,30500,31000,31500,32000,32500,33000,33500,34000,34500,35000,35500,36000,36500,37000,37500,38000,38500,39000,39500,40000,40500,41000,41500,42000,42500,43000,43500,44000,44500,45000,45500,46000,46500,47000,47500,48000,48500,49000,49500,50000
0.742,2.475,4.626,8.545,13.557,19.368,24.796,33.195,43.307,56.658,68.913,87.579,102.426,123.909,137.551,165.85,217.142,309.91,223.992,319.255,275.979,309.665,364.946,394.184,486.533,499.438,566.512,575.668,570.502,601.448,696.771,710.402,895.366,882.984,1006.17,1066.76,1053.69,1090.13,1123.91,1112.52,1251.11,1330.36,1633.18,1755.98,1548.55,1652.42,1626.38,1952.57,2088.83,1871.47,1899.71,1910.19,2236.1,2133.97,2234.09,2299.5,2375.84,2427.29,2663.29,2853.64,2803.77,2799.05,2878.01,2951.08,3220.52,3120.33,3369.5,3458.24,3496.08,3638.8,3603.21,3840.38,4083.14,4008.05,4243.38,4352.92,4548.57,4662.8,4898.93,4752.04,4847.69,5046.74,5038.14,5337.98,5448.34,5451.41,5659.29,6028.54,5915.66,6099.91,6264.48,6461.19,7271.95,7159.4,7203.53,6976.39,7176.56,7509.36,7688.06,7554.69
0.609,2.131,5.168,8.101,13.962,17.791,25.11,34.363,43.358,55.03,67.898,82.885,96.798,114.593,132.694,153.782,175.731,199.033,221.431,247.492,275.243,305.049,334.354,365.926,401.486,434.042,469.147,510.413,544.457,591.708,633.354,675.915,733.363,765.083,815.637,861.349,911.925,970.214,1022.67,1078.19,1137.84,1192.18,1264.07,1311.13,1404.75,1443.37,1514.21,1583.45,1641.85,1735.19,1805.16,1854.17,1940.85,2008.03,2102.5,2162.47,2255.51,2336.39,2423.04,2502.74,2590.45,2682.94,2786.55,2864.63,2956.73,3063.08,3159.51,3280.2,3339.9,3476.31,3552.29,3637.41,3785.66,3851.35,3950.45,4066.61,4182.58,4274.21,4401.35,4525.93,4622.44,4772.1,4888.35,4988.78,5171.62,5242.5,5393.42,5503.89,5649.62,5761.56,5952.22,6015.82,6153.42,6302.03,6459,6572.85,6714.06,6855.23,6972.72,7150.11
0.517,1.971,4.343,9.169,15.433,22.624,30.593,37.149,43.199,54.494,66.808,85.672,96.506,114.083,131.503,154.196,178.327,220.991,223.423,250.691,288.258,311.415,371.457,367.194,401.285,438.014,473.509,511.741,549.363,592.826,636.678,673.03,727.362,768.903,819.969,866.477,930.044,970.583,1018.89,1075.96,1138.77,1189.12,1254.77,1316.13,1377.48,1445.74,1597.78,1593.22,1653.24,1715.25,1789.39,1860.88,1952.55,2042.21,2085.62,2170.67,2253.26,2341.63,2409.84,2499.61,2584.28,2676.87,2825.89,2855.93,2945.95,3053.47,3135.8,3239.88,3326.25,3441.51,3528.89,3638.21,3765.87,3850.3,3962.88,4080.73,4178.32,4280.96,4408.17,4553.08,4629.84,4794.02,4880.42,4994.86,5115.01,5221.39,5360.38,5538.17,5666.58,5775.18,5939.24,6008.11,6158.88,6279.85,6426.05,6563.8,6707.03,6840.47,6966.41,7148.93
0.587,1.95,4.205,8.256,11.997,17.785,24.997,33.969,42.603,55.332,76.091,84.552,96.441,115.511,134.824,195.693,175.154,196.88,220.635,246.964,273.768,302.482,332.91,365.87,398.199,434.411,469.153,511.295,547.569,592.476,634.052,678.359,723.161,773.498,822.24,865.683,916.998,970.182,1016.91,1081.4,1140.66,1194.79,1257.08,1314.41,1394.87,1449.56,1517.23,1583.28,1653.06,1735.93,1781.18,1863.88,1947.19,2021.24,2097.78,2179.55,2278.64,2345.13,2452.26,2515.56,2595.38,2692.1,2782.92,2879.44,2960.68,3082.71,3143.6,3242.75,3331.62,3446.7,3532.49,3665.95,3749.31,3847.32,3959.34,4069.2,4192.1,4270.9,4413.8,4512.32,4626.22,4749.27,4886.69,4993.54,5117.31,5230.9,5372.68,5495.53,5644.45,5757.66,5882.02,6009.97,6182.97,6300.81,6423.83,6591.72,6726.48,6890.43,7022.17,7165.35
0.523,2.449,4.275,8.713,12.335,17.722,23.917,32.619,42.233,53.452,65.82,83.227,98.984,115.814,131.9,156.647,179.535,197.794,221.375,247.92,274.004,304.465,335.635,367.789,399.124,436.424,468.184,511.605,547.535,589.571,634.429,672.736,737.107,768.219,820.457,863.619,912.934,968.004,1018.8,1082.48,1133.02,1193.92,1249.93,1315.37,1447.92,1444.63,1511.64,1576.77,1644.42,1717.3,1789.38,1855,1936.18,2013.1,2087.72,2186.63,2276.57,2342.51,2406.02,2504.18,2590.92,2710.4,2761.12,2864.91,2960.26,3077.79,3141.18,3252.72,3329.3,3448.17,3558.76,3635.8,3738.43,3881.13,3962.88,4105.06,4175.82,4301.11,4395.46,5017.96,4659.81,4746.63,4866.73,4989.46,5118.97,5247.24,5380.49,5517.32,5621.52,5777.62,5878.15,6018.53,6144.4,6282.09,6425.13,6598.31,6690.36,6866.75,6965.02,7151.04
0.705,2.505,4.645,9.72,14.159,17.737,24.458,33.989,42.82,54.983,66.315,81.649,97.963,114.65,133.807,217.451,182.601,201.928,222.149,251.577,281.113,368.038,341.925,398.56,461.93,461.271,559.288,519.349,559.601,720.93,899.266,694.16,1015.11,827.801,1289.4,1022.2,1119.31,1078.09,1124.72,1243.96,1171.27,1377.16,1363.9,1465.72,1517.82,1727.18,1815.03,1719.42,1758.01,1867.49,2036.09,2063.01,2254.41,2619.04,2333.58,2251.5,2322.48,2477.24,2679.28,2695.93,2817.75,2904.33,2998.3,3094.09,3232.74,3159.64,3311.35,3260.17,3617.04,3826.56,3926.92,3976.82,4017.26,4028.22,4290.35,4567.68,4667.34,4480.62,4594.76,4683.38,5035.8,4991.61,5137.14,5426.51,5451.68,5510,5758.11,5900.05,5733.55,6005.65,6256.89,6150.25,6680.71,6323.9,6469.38,6627.72,6791.91,7213.62,7402.33,7927.17
0.653,4.113,5.128,7.668,13.672,18.025,24.622,33.397,42.892,54.416,66.944,83.158,98.752,117.415,133.4,156.229,180.564,221.432,233.494,254.143,278.702,309.601,557.553,420.102,437.967,514.329,480.239,526.431,549.349,647.981,645.637,705.066,741.59,785.984,834.368,938.84,916.112,971.861,1070.57,1147.28,1242.82,1274.66,1274.48,1314.84,1380.1,1439.89,1628.48,1636.15,1646.96,1711.32,1785.71,1870.42,1926.27,2008.55,2083.84,2158.06,2236.22,2341.67,2413.25,2490.45,2613.93,2685.05,2758.85,2858.42,2944.64,3039.82,3121.8,3242.29,3310.47,3438.26,3525.3,3623.61,3757.5,3845.38,3941.88,4058.18,4157.8,4263.03,4439.6,4505.45,4647.51,4744.06,4882.38,4977.09,5131.13,5223.43,5367.74,5488.04,5603,5779.1,5866.48,6009.38,6140.64,6294.91,6401.56,6556.89,6712.06,6826.63,6958.63,7194.62
0.556,2.387,4.267,7.715,12.835,17.626,48.152,47.156,43.423,57.016,67.155,80.83,96.792,113.277,131.941,153.956,190.686,198.29,221.19,248.723,277.31,305.062,337.186,373.745,401.343,445.667,472.471,509.651,549.732,593.194,638.067,678.178,724.333,769.925,818.933,868.525,919.43,976.125,1022.33,1082.46,1141.55,1197.87,1280.75,1317.46,1381.1,1447.54,1516.54,1582.21,1658.84,1723.39,1793.62,1864.77,1962.7,2008.5,2087.82,2164.04,2245.87,2343.41,2410.88,2512.61,2602.21,2717.89,2764.94,2855.21,2953.21,3161.82,3154.6,3236.88,3337.07,3458.91,3525.68,3659.84,3756.51,3846.93,3940.18,4087.05,4203.04,4283.18,4435.96,4516.64,4636.76,4762.75,4879.18,4996.11,5111.9,5220.78,5382.6,5488.84,5616.45,5748.14,5931.95,6024.36,6132.63,6268.88,6409.14,6555.13,6706.53,6841.08,6972.07,7151.37
0.568,2.203,4.387,8.051,13.177,17.73,24.726,33.276,74.83,54.572,67.108,82.377,96.943,113.886,132.197,153.599,175.076,197.729,221.463,246.757,276.073,320.743,335.855,368.328,404.305,435.004,474.294,510.706,547.955,593.328,633.502,672.082,720.443,792.615,821.185,868.061,915.005,971.634,1024.69,1090.81,1143.56,1189.94,1256.4,1313.67,1377.38,1443.59,1541.72,1580.89,1647.38,1722.16,1789.12,1869.28,1956.32,2006.36,2088.78,2188.38,2259.32,2354.76,2411.07,2499.85,2581.94,2678.71,2768.19,2864.01,2959.51,3050.47,3143.71,3249.81,3349.08,3441.24,3578.41,3638.26,3747.82,3857.75,3970.8,4068.7,4199.9,4293.39,4406.01,4505.3,4627.09,4797.45,4903.07,4990.85,5137.85,5251.89,5418.82,5493.56,5614.45,5765.05,5889.09,6017.67,6148.47,6284.61,6452.6,6574.88,6713.38,6832.65,6966.61,7108.84
